name,prize,location
Chivuo’s,12.9,"Carrer del Torrent de l’Olla, 175"
Central Burger,10.95,Vía Laietana 45
Bar Torpedo,10.9,"Carrer d’Aribau, 143"
La Sagrada,14.30,"Carrer de Sant Carles, 11"
Hideout,12.40,"Carrer del Consell de Cent, 242"
Mirch Barcelona,10,"Carrer dels Àngels, 12"
"Acero,",9,"Carrer de l’Espaseria, 10"
La Porca,11.50,"Carrer de Mata, 16"
Fast Eddie’s,8,"Carrer de Carders, 6"
Kemako,8,"Carrer de Carders, 6"
La Vrutal,14.20,Rambla del Poblenou 16
Big Al’s,13.90,Carrer de Còrsega 178
"Tío Joe, al estilo rústico",10.80,"Via Augusta, 9"
Tanso Izakaya,18.9,"Passeig de Sant Joan Bosco, 47"
Machaka,8.90,"C/ de Balmes, 165/ deC/ l Consell de Cent, 421"
Bemba Smash Burger,12,"C/ de l’Encarnació, 38, Gràcia"
