name,prize,location
Picanto de Briochef,15.9,"Paseo de la Florida, 21"
American Smash 2.0 de Dalù Burger,16.0,"Calle de Hartzenbusch, 7"
La Junk de Junk Burger ,12.9,"Calle de José Abascal, 31"
Golden de La Birra Bar,13.2,"Calle de Postas, 12"
Tuna Turner de La Misión,15.99,"Calle de José Silva, 22"
Cheese Bacon de Frankie Burgers,12.5,"Calle de Ponzano, 46"
Milwaukee Burger de Milwaukee,12.99,"Calle de Manuela Malasaña, 9"
Hamburguesa Wellington de La Bistroteca,18.0,"Calle de Espartinas, 7"
"Va por ti, Nano de Samos Bbq",14.78,"Avenida de Alfonso XIII, 149"
La Fracasada de Bdp Coslada,15.5,"Calle Mar del Norte, 1"
