name,prize,location
1. Junk Burger ,12.9,"Calle de Jose Ponzano Abascal, 13"
2. Cesar’s Burger,12.9," Calle de San Lucas, 11 (Chueca)"
3. Frankie Burgers,11.95," Calle Ponzano, 46 (Ponzano)"
4. SteakBurger,17.9, Varias localizaciones.
5. La Puerta Amarilla,15.5," Calle Fúcar, 9 (Barrio de las Letras)"
6. Munchies by foodgoddess,12.9," Calle Santa María, 39 (Las Letras). "
7. La Birra Bar,12.9," Carrera de San Jerónimo, 3 (centro) y calle de las Postas, 12 (centro). "
8. Mad Grill,10.5,"Calle Campoamor, 13"
9. Viva Burguer,13.5,"Cost.ª de San Andrés, 16"
10. Nugu Burger,12.9," Calle de Atocha, 115 (Centro) y calle Emilio Muñoz, 45 (San Blas). "
11. Juancho’s BBQ,12.5,Varias ubicaciones
12. Burmet,11.9,"Calle de Luis Vives, 9 (Prosperidad) y Paseo del Olmo, 13 (Acacias)"
13. Briochef,13.9," Paseo de la Florida, 21 (Príncipe Pío) y Calle Ramón y Cajal 3, (Alcalá de Henares)"
14. Pink’s,8.0, Varias localizaciones
15. Pacifico,10.0," Calle del Conde de Xiquena, 2 (Salesas)"
16. BDP,15.5," Calle del Mar del Norte, 1 (Coslada)"
17. Panpajaropan,10.0,Cambia
18. Pólvora,16.0," Calle Juan Bravo, 23 (Castellana)"
19. Burger Jazz,7.5, Varias localizaciones.
20. Milwaukee,9.5," Av. América, 33 (La Guindalera) y Calle Manuela Malasaña, 9 (Malasaña)"
